[masking_agent] KD PHRASES (page 0):
value='Acme Inc.' | mean_conf=1.000 | bbox=[38, 41, 111, 55]
value='ACME' | mean_conf=0.999 | bbox=[500, 37, 569, 67]
value='1 Glenwood Dr.' | mean_conf=1.000 | bbox=[38, 81, 146, 96]
value='New York, NY 10034' | mean_conf=1.000 | bbox=[38, 101, 182, 117]
value='BILL TO' | mean_conf=1.000 | bbox=[38, 152, 82, 163]
value='SHIP TO' | mean_conf=1.000 | bbox=[224, 151, 271, 163]
value='RECEIPT #' | mean_conf=1.000 | bbox=[394, 152, 453, 163]
value='US-011' | mean_conf=1.000 | bbox=[489, 152, 529, 163]
value='John Smith' | mean_conf=1.000 | bbox=[37, 182, 99, 193]
value='8831 South Gates Drive' | mean_conf=1.000 | bbox=[224, 182, 352, 193]
value='RECEIPT DATE 27/04/2024' | mean_conf=1.000 | bbox=[394, 174, 552, 184]
value='8708 South Catherine Street' | mean_conf=0.990 | bbox=[38, 197, 192, 208]
value='Huntington, NY 11743' | mean_conf=1.000 | bbox=[225, 196, 342, 210]
value='P.O. #' | mean_conf=1.000 | bbox=[394, 195, 428, 206]
value='10/02/2024' | mean_conf=1.000 | bbox=[490, 195, 552, 206]
value='Brooklyn, NY 11218' | mean_conf=1.000 | bbox=[38, 212, 144, 225]
value='RECEIPT TOTAL' | mean_conf=1.000 | bbox=[45, 276, 217, 293]
value='$200' | mean_conf=1.000 | bbox=[500, 272, 558, 298]
value='QTY' | mean_conf=1.000 | bbox=[37, 348, 64, 362]
value='DESCRIPTION' | mean_conf=1.000 | bbox=[111, 349, 190, 360]
value='UNIT PRICE' | mean_conf=1.000 | bbox=[380, 349, 445, 360]
value='AMOUNT' | mean_conf=1.000 | bbox=[501, 349, 553, 360]
value='-' | mean_conf=0.996 | bbox=[40, 377, 44, 382]
value='Fishing Rod' | mean_conf=1.000 | bbox=[111, 375, 173, 389]
value='50.00' | mean_conf=1.000 | bbox=[415, 376, 445, 387]
value='50.00' | mean_conf=1.000 | bbox=[522, 376, 553, 387]
value='2' | mean_conf=1.000 | bbox=[38, 405, 47, 415]
value='The Boy the Mole the Fox and the Horse' | mean_conf=1.000 | bbox=[110, 403, 334, 417]
value='50.00' | mean_conf=1.000 | bbox=[414, 404, 446, 417]
value='50.00' | mean_conf=1.000 | bbox=[522, 405, 553, 416]
value='3' | mean_conf=1.000 | bbox=[40, 435, 45, 443]
value='Desk table with drawer' | mean_conf=1.000 | bbox=[111, 433, 239, 444]
value='100.00' | mean_conf=1.000 | bbox=[408, 431, 445, 442]
value='100.00' | mean_conf=1.000 | bbox=[515, 431, 553, 442]
value='TOTAL' | mean_conf=1.000 | bbox=[408, 461, 447, 471]
value='200.00' | mean_conf=1.000 | bbox=[515, 461, 553, 471]
